"Neighborhood","Venue Category","Venue","Id","Neighborhood_Latitude","Neighborhood_Longitude","Location_Formatted_Address","Categories_Name","Location_Address","Location_Postal_Code","Location_City","Location_State","Cluster_Label"
"Dharmaram College","Mall","The Forum Mall","4b5a8814f964a5201cca28e3",12.93460274,77.61131217,"#21 (Kormangala)","Shopping Mall","#21",560029,"Bangalore","Karnataka",0
"G.K.V.K.","Cineplex","Imax","5c1667a4dff815002c3718af",13.094436,77.5951,"Bangalore 560065","Multiplex","null",560065,"Bangalore","Karnataka",1
"Begur","Cineplex","Pvr Imax","5a55f6f603369353b7a52cfb",12.90784658,77.60141378,"Bengaluru South 560068","Multiplex","null",560068,"Bangalore","Karnataka",0
"Hoodi","Cineplex","PVR Market City","51c1ddc4498e80f222edbfcb",12.99753093,77.69581333,"The Phoenix Market City Mall (Whitefield Main Rd, Mahadevapura Post)","Multiplex","The Phoenix Market City Mall",560048,"Bangalore","Karnataka",2
"CMP Centre And School","Cineplex","INOX Magrath Road","4bd19a8d9854d13a82c9f94d",12.97012693,77.60996812,"4th Floor, Garuda Mall, Ashok Nagar (Magrath Road)","Multiplex","4th Floor, Garuda Mall, Ashok Nagar",560025,"Bangalore","Karnataka",0
"Bannerghatta Road","Movie Theater","PVR Audi 7 4DX","5c65704f1c0b34002cc4137c",12.907887,77.601105,"Bangalore 560076","Movie Theater","null",560076,"Bangalore","Karnataka",0
"B Sk II Stage","Performing Arts","Suchitra Film Society","4e8871a55c5c282a2402e898",12.92608107,77.56993005,"Banashankari (2nd Stage)","Performing Arts Venue","Banashankari",560070,"Bangalore","Karnataka",0
"J P Nagar","Movie Theater","Marlinspike Hall","593bd72ea35dce738e8bce9a",12.90070578,77.55700943,"89,4th cross","Movie Theater","89,4th cross",560078,"Bangalore","Karnataka",0
"Attur","Cineplex","INOX Cinemas","5bc0a4475d891b002ccf23b5",13.094407,77.59555,"RMZ Galleria Mall, 2nd Floor (Ambedkar Colony, Yelahanka)","Multiplex","RMZ Galleria Mall, 2nd Floor",560064,"Bangalore","Karnataka",1
"Rt nagar","Movie Theater","Radhakrishna theater","4d0b8f71984a6ea8f1319264",13.0133852,77.59377783,"Rt nagar","Movie Theater","Rt nagar","null","Bangalore","Karnataka",1
"Soul Space Arena","Cineplex","PVR Cinemas","581a11d3042fc73ce1323583",12.9799884,77.69368712,"Soul Space Arena (Mahadevapura)","Multiplex","Soul Space Arena","null","Bangalore","Karnataka",2
"EPIP","Movie Theater","SPI Aura Cinemas","5c0e7821d48ec1002c733cec",12.987098,77.736138,"Park Square Mall (ITPL, Whitefield)","Movie Theater","Park Square Mall",560066,"Bangalore","Karnataka",2
"Gandhi Nagar","Movie Theater","Movieland Theater","4d0385399d33a14358b0b478",12.978798,77.57547281,"Subedar Chatram Rd, Gandhi Nagar","Movie Theater","Subedar Chatram Rd, Gandhi Nagar","null","Bangalore","Karnataka",0
"Bannerghatta Road","Cineplex","Audi 1 Playhouse - Pvr Cinemas","5a5f6fac12f0a973a693d756",12.907608,77.60118,"Bangalore 560076","Multiplex","null",560076,"Bangalore","Karnataka",0
"Chikkalasandra","Movie Theater","Vaibhavi Theatre","4c024fb3cebfef3b7a6297fd",12.90361759,77.54413247,"Subramanyapura Main Road, Uttarahalli (Opp New Brilliant School)","Movie Theater","Subramanyapura Main Road, Uttarahalli",560061,"Bangalore","Karnataka",0
"EPIP","Mall","The Forum Value Mall","4b56c960f964a520391b28e3",12.95978456,77.74751597,"#62, Whitefield Main Rd (Whitefield)","Shopping Mall","#62, Whitefield Main Rd",560066,"Bangalore","Karnataka",2
"Vasanthapura main road","Indie Movies","Manasa Theater","4da01cb158c2224bb63f4b79",12.89081109,77.56233533,"Vasanthapura main road","Indie Movie Theater","Vasanthapura main road","null","Bangalore","Karnataka",0
"Bannerghatta Road","Cineplex","Pvr Cinemas Audi 4","5cc521ce23a2e6002c55013a",12.907852,77.601105,"Bangalore 560076","Multiplex","null",560076,"Bangalore","Karnataka",0
"Adugodi","Indie Movies","Shiva Theatre","4cfbd424dccef04df03ebd9c",12.9415258,77.6173245,"Adugodi Main Rd, Koramangala 8 Block, Adugodi","Indie Movie Theater","Adugodi Main Rd, Koramangala 8 Block, Adugodi","null","Bangalore","Karnataka",0
"Dharmaram College","Cineplex","PVR Cinemas","4bda6ca63c4fef3bbca2f4bf",12.93438876,77.61118429,"3rd and 4th Floors, The Forum Mall, #29, Hosur Road, 5th Block, Kormangala (Hosur Road)","Multiplex","3rd and 4th Floors, The Forum Mall, #29, Hosur Road, 5th Block, Kormangala",560029,"Bangalore","Karnataka",0
"Agara","Cineplex","PVR","4df48cc062e1288ed307d1df",12.9263276,77.67534694,"Bangalore Central Mall (Outer Ring Road Bellandur)","Multiplex","Bangalore Central Mall",560034,"Bangalore","Karnataka",2
"Begur","Cineplex","PVR Cinemas","5a54eda40802d413e056c732",12.9076222,77.60108215,"Bengaluru South 560068","Multiplex","null",560068,"Bangalore","Karnataka",0
