"Neighborhood","Venue Category","Venue","id","location_address","location_crossStreet","Neighborhood_Latitude","Neighborhood_Longitude","location_postalCode","location_city","location_state","location_country","location_formattedAddress","categories_name","categories_pluralName","categories_shortName"
"HiTech City","Movie Theater","PVR Cinemas","54490b7a498e934ca695dabd","Inorbit","Madhapur",17.43424473,78.38676275,500081,"Hyderabad","Telangana","India","Inorbit (Madhapur)","Movie Theater","Movie Theaters","Movie Theater"
"Kukatpally","Cineplex","Cin�polis�","51b6d645498ebc5ae1f840d7","Manjeera-Trinity Mall, JNTU Road","KPHB, KUKATPALLY",17.48999808,78.392849,500072,"Hyderabad","Telangana","India","Manjeera-Trinity Mall, JNTU Road (KPHB, KUKATPALLY)","Multiplex","Multiplexes","Cineplex"
"I.M.Colony","Cineplex","PVR Cinemas","4bfc166ae9d8c9285306b2c7","The Hyderabad Central Mall, Panjagutta","null",17.42651605,78.45326123,500082,"Hyderabad","Telangana","India","The Hyderabad Central Mall, Panjagutta","Multiplex","Multiplexes","Cineplex"
"Kukatpally","Cineplex","PVR Cinemas","54317905498ed37e3c280c0e","Forum Mall","Kukatpally",17.48385842,78.38887729,500072,"Hyderabad","Telangana","India","Forum Mall (Kukatpally)","Multiplex","Multiplexes","Cineplex"
"Hyderabad Jubilee","Landmark","Charminar","4e1d712415207c4cbec540bd","Old City","null",17.36155458,78.47467661,500002,"Hyderabad","Telangana","India","Old City","Monument / Landmark","Monuments / Landmarks","Landmark"
"Chandanagar","Cineplex","Inox","5d3741ad34b8080008f877f7","null","null",17.49627,78.335724,500050,"Hyderabad","Telangana","India","Hyderabad 500050","Multiplex","Multiplexes","Cineplex"
"I.M.Colony","Cineplex","Pvr Next Galleria Palyhouse Mall","5a8c515fe1f0aa07a180302c","Opp Punjaguta Metro Station, Srinagar Colony Ameerpet Road","Opp Punjaguta Metro Station",17.429289,78.450195,500082,"Hyderabad","Telangana","India","Opp Punjaguta Metro Station, Srinagar Colony Ameerpet Road (Opp Punjaguta Metro Station)","Multiplex","Multiplexes","Cineplex"
"Srinagar Colony","Cineplex","Big Cinemas","4bd14ed8caff95210588d0f0","Big Bazaar","Ameerpet",17.43044427,78.44836113,"null","Hyderabad","Telangana","India","Big Bazaar (Ameerpet)","Multiplex","Multiplexes","Cineplex"
"LIC Division","Cineplex","Prasad's IMAX","4b72b33bf964a52054842de3","NTR Gardens, LIC Division P.O., Tank Bund Rd, Hussain Sagar","Khairatabad",17.41305354,78.46557776,500063,"Hyderabad","Telangana","India","NTR Gardens, LIC Division P.O., Tank Bund Rd, Hussain Sagar (Khairatabad)","Multiplex","Multiplexes","Cineplex"
"Kachiguda X Roads","Cineplex","Inox Maheshwari Paremeshwari","507a6f13e4b08ed64815dbfb","Big Bazaar, Kachiguda X Roads","Above Big Bazar",17.39072803,78.4883524,"null","Hyderabad","Telangana","India","Big Bazaar, Kachiguda X Roads (Above Big Bazar)","Multiplex","Multiplexes","Cineplex"
"Banjara Hills","Cineplex","PVR Cinemas","4bc9da630687ef3b3f96dacc","Opp LV Prasad Eye Hosipital, Banjara Hills","Rd No 2",17.42357664,78.42785608,"null","Hyderabad","Telangana","India","Opp LV Prasad Eye Hosipital, Banjara Hills (Rd No 2)","Multiplex","Multiplexes","Cineplex"
"Kondapur","Movie Theater","Amb Cinemas","5c0413f7724750002cd8f006","Kondapur","null",17.45737933,78.36372273,500084,"Hyderabad","TG","India","Kondapur","Movie Theater","Movie Theaters","Movie Theater"
"Dilsukhnagar","Cineplex","Asian Shiva ganga","521dc53f11d2e4a985bf89e4","Survey No.102, Near City Bus Stop, Kalyan Nagar, Dilsukhnagar","null",17.36112224,78.52321513,500060,"Hyderabad","Telangana","India","Survey No.102, Near City Bus Stop, Kalyan Nagar, Dilsukhnagar","Multiplex","Multiplexes","Cineplex"
"Banjara Hills","Cineplex","INOX Movies","4bf8d00fb182c9b68526785a","GVK One, Banjara Hills","Rd No 1",17.41939139,78.44811874,500034,"Hyderabad","Telangana","India","GVK One, Banjara Hills (Rd No 1)","Multiplex","Multiplexes","Cineplex"
"I.M.Colony","Mall","Hyderabad Central","4b443250f964a52091f225e3","Punjagutta Circle","Punjagutta",17.42638641,78.45278617,500082,"Hyderabad","Telangana","India","Punjagutta Circle (Punjagutta)","Shopping Mall","Shopping Malls","Mall"
"RTC X ROADS","Movie Theater","Devi 70 MM","4cee68185de16ea83896bb96","RTC X ROADS","null",17.40632866,78.49540915,"null","Hyderabad","Telangana","India","RTC X ROADS","Movie Theater","Movie Theaters","Movie Theater"
"Malakpet Colony","Cineplex","Pvr Cinemas","5cceaa45326fb10038f2dd26","null","null",17.371461,78.509652,500036,"Hyderabad","TG","India","Hyderabad 500036","Multiplex","Multiplexes","Cineplex"
"I.M.Colony","Cineplex","Pvr Irrum Manzil","5c25af9193bd63002cb7d4e0","null","null",17.420914,78.455236,500082,"Hyderabad","TG","India","Hyderabad 500082","Multiplex","Multiplexes","Cineplex"
"Langer Houz","Indie Movies","Pratap Theatre","5245443e11d20c55b6a73cfd","Langer Houz","null",17.376504,78.419594,"null","Hyderabad","null","India","Langer Houz","Indie Movie Theater","Indie Movie Theaters","Indie Movies"
"Ashoknagar","Movie Theater","Sudharshan Theatre 35mm","4c9485c90341370495d872ef","RTC X ROAD","null",17.40652963,78.49515002,500020,"Hyderabad","Telangana","India","RTC X ROAD","Movie Theater","Movie Theaters","Movie Theater"
"Charminar","Zoo","Nehru Zoological Park","4c4269da520fa593d043cbac","Zoo Park Main Rd, Charminar","null",17.3507778,78.45139601,"null","Hyderabad","Telangana","India","Zoo Park Main Rd, Charminar","Zoo","Zoos","Zoo"
"Shamshabad","Historic Site","Sri SitaRama Chandra Swamy Temple","55041af2498e1f2b3855aa24","Ammapalli","Shamshabad",17.257191,78.345492,"null","Hyderabad","Telangana","India","Ammapalli (Shamshabad)","Historic Site","Historic Sites","Historic Site"
"Khairatabad","Historic Site","Buddha statue","4c878ecb9062ef3b665940c6","Hussain Sagar Lake","Tank Bund",17.415596,78.474976,500029,"Hyderabad","Telangana","India","Hussain Sagar Lake (Tank Bund)","Historic Site","Historic Sites","Historic Site"
"Ameerpet","Dance Studio","Sarathi Studios","4c1ef22d63750f474f88ba67","Yousufguda Road","Ameerpet",17.43561603,78.4414494,"null","Hyderabad","Telangana","India","Yousufguda Road (Ameerpet)","Dance Studio","Dance Studios","Dance Studio"
"Fatehdarwaza","Theater","Sudha Cinepolis","5ae29faf033693002c3f736e","Bela","Gowlipura",17.350346,78.4746,500065,"Hyderabad","Telangana","India","Bela (Gowlipura)","Theater","Theaters","Theater"
"Banjara Hills","Entertainment","Welfare And Cultural Club Mla's Colony","509b2a10e4b0f0f523aa4265","Mla's Colony Banjara Hills Rd-12","null",17.41063309,78.4229694,500034,"Hyderabad","Telangana","India","Mla's Colony Banjara Hills Rd-12","General Entertainment","General Entertainment","Entertainment"
"Mahatma Gandhi Road","Arcade","Park Lane","4bc939a368f976b06e1a5d83","Park Lane","Mahatma Gandhi Road",17.43954657,78.48963261,"null","Hyderabad","Telangana","India","Park Lane (Mahatma Gandhi Road)","Arcade","Arcades","Arcade"
"Opp To Indra Park","Stadium","NTR Stadium","4f8240f8e4b01cf8243c8e5b","Opp To Indra Park","null",17.41047794,78.48561961,"null","Hyderabad","Telangana","India","Opp To Indra Park","Stadium","Stadiums","Stadium"
"Tolichowki","Entertainment","M.F garden","4e0745d1a809495e6197ba85","Tolichowki","null",17.40247601,78.41290716,"null","Hyderabad","Telangana","India","Tolichowki","General Entertainment","General Entertainment","Entertainment"
"yousufguda","Stadium","Kotla Vijayabhaskar Reddy Stadium","4e1063b98877ac23b6576384","yousufguda","null",17.43421953,78.42727276,"null","Hyderabad","Andhra Pradesh","India","yousufguda","Stadium","Stadiums","Stadium"
"Srinagar colony","Concert Hall","Sri Satya Sai Nigamagamam","4c3b248a5810a5938821ba3c","Srinagar colony","null",17.42956518,78.43556649,"null","Hyderabad","Telangana","India","Srinagar colony","Concert Hall","Concert Halls","Concert Hall"
"Gachibowli","Performing Arts","Global Peace Auditorium","4ec8b15c722e143797d57682","Gachibowli","null",17.43721038,78.35248525,"null","Hyderabad","Telangana","India","Gachibowli","Performing Arts Venue","Performing Arts Venues","Performing Arts"
"Chandanagar","Stadium","P J R Stadium","4e40859c2271a89dd0847f98","Chandanagar","null",17.4888336,78.32459826,"null","Hyderabad","Telangana","India","Chandanagar","Stadium","Stadiums","Stadium"
"LIC Division","Planetarium","Birla Science Center & Museum","4d0ddd35d515236afcbf0f4b","Near Birla Temple, Adarsh Nagar","Hill Fort Road",17.39164502,78.47010774,500063,,,,"Near Birla Temple, Adarsh Nagar (Hill Fort Road)","Planetarium","Planetariums","Planetarium"
"Moti Gali, Charminar","History Museum","Chowmahala Palace","4cc19bfb67a3b1f77a8dc90e","Moti Gali, Charminar","null",17.35929974,78.47161741,"null",,,,"Moti Gali, Charminar","History Museum","History Museums","History Museum"
"Hafzalgunj","History Museum","Salar Jung Museum","4bc95d44fb84c9b6d5101b3e","Hafzalgunj","null",17.37177288,78.48063609,"null",,,,"Hafzalgunj","History Museum","History Museums","History Museum"
"Masabtank","Art Museum","tribal museum","511d2b71e4b05f03e28db94d","Masabtank","null",17.31754627,78.56785125,"null",,,,"Masabtank","Art Museum","Art Museums","Art Museum"
"Tank Bund","Planetarium","Birla Planetarium","511de9e3e4b06a8712e13153","Birla Temple Area, Tank Bund","Tank Bund Road",17.40596541,78.47101243,"null",,,,"Birla Temple Area, Tank Bund (Tank Bund Road)","Planetarium","Planetariums","Planetarium"
