Neighborhood,Neighborhood_real,Venue Category,Venue,Neighborhood_Latitude,Neighborhood_Longitude,location_address,location_formattedAddress,location_crossStreet,location_neighborhood,id,location_postalCode,location_city,location_state,location_country,categories_name,categories_pluralName,categories_shortName,Assigned_Neighborhood,Cluster_01
Tardeo,Agripada,Health,Nair Hospital,18.97364765,72.8227544,null,India,null,,4ceb69c3f3bda1439dbccbe4,null,Mumbai,Maharashtra,India,Hospital,Hospitals,Hospital,Agripada,4
Parel,Agripada ,Coffee Shop,Starbucks,18.990906,72.814462,Atria Mall,Atria Mall,null,Atria Mall,5b6924a4340a58002ceebf3a,400011,Mumbai,Maharashtra,India,Coffee Shop,Coffee Shops,Coffee Shop,Atria Mall,30
Parel,Agripada ,Nightclub,mata hari,18.990907,72.814316,null,Mumbai 400011,null,Agripada,5ac08198a22db72d8f150f07,400011,Mumbai,Maharashtra,India,Nightclub,Nightclubs,Nightclub,Agripada,30
Nerul,Airoli,Bistro,fuzion,19.16968742,73.0012626,Reliable Tech Park,Reliable Tech Park,null,Reliable Tech Park,531d695d498e90f5733d6bda,null,Mumbai,Maharashtra,India,Bistro,Bistros,Bistro,Reliable Tech Park,24
Koparkhairane,Airoli,School,D. A. V. Public School,19.14741898,72.98796082,"Sector-10, Airoli","Sector-10, Airoli (Opposite DAV playground)",Opposite DAV playground,Opposite DAV playground,560e195f498eee791410d847,400708,Mumbai,Maharashtra,India,High School,High Schools,High School,Opposite DAV playground,14
Andheri (East),Amboli,Breakfast,New Arogya Bhavan,19.12357332,72.84409651,Opp Tata Hospital,Opp Tata Hospital,null,Opp Tata Hospital,4fd98d25e4b04a083d1ea968,null,Mumbai,Maharashtra,India,Breakfast Spot,Breakfast Spots,Breakfast,Amboli,36
Andheri (East),Amboli,Fitness,Perfect Fitness Gym,19.12951724,72.84983726,Matoshree,Matoshree (Hindu Friends Society Road),Hindu Friends Society Road,Hindu Friends Society Road,514441abe4b021dacb94048d,null,Mumbai,Maharashtra,India,Gym / Fitness Center,Gyms or Fitness Centers,Gym / Fitness,Amboli,36
Andheri (West),Amboli,School,Divine Child Nursery,19.12863125,72.84151169,null,India,null,,50a5f6cbe4b04eb9cbe61531,null,Mumbai,Maharashtra,India,Elementary School,Elementary Schools,Elementary School,Amboli,8
Andheri (East),Amboli,Flea Market,Andheri Market,19.12286163,72.84612985,null,Mumbai,S V Road,S V Road,4d5648fb611aa35dae473f39,null,Mumbai,Maharashtra,India,Flea Market,Flea Markets,Flea Market,Amboli,36
Andheri (East),Amboli,Flea Market,Arasa Shopping Center,19.1206353,72.84620243,null,India,null,,4e893bd7722ef30155dc0c0b,null,Mumbai,Maharashtra,India,Flea Market,Flea Markets,Flea Market,Amboli,36
Andheri (West),Andheri,Library,Sheela Raheja Library,19.12866271,72.81930302,Raheja Complex,"Raheja Complex (Bank Of Maharashtra Lane, Seven Bungalows)","Bank Of Maharashtra Lane, Seven Bungalows",Seven Bungalows,5097c806e4b055b34e279f2f,400058,Mumbai,Maharashtra,India,College Library,College Libraries,Library,Seven Bungalows,39
